Liczba elementow;Zmierzony czas
100;0.0003834
200;0.0015582
300;0.003132
400;0.0048684
500;0.0091707
600;0.0133467
700;0.017654
800;0.022129
900;0.0270602
1000;0.0316087
1100;0.0377008
1200;0.0463929
1300;0.0545568
1400;0.0653162
1500;0.0742242
1600;0.0911963
1700;0.102812
1800;0.112254
1900;0.127756
2000;0.140199
2100;0.154077
2200;0.164865
2300;0.179681
2400;0.380439
2500;0.294903
2600;0.231446
2700;0.284234
2800;0.280564
2900;0.297595
3000;0.327736
3100;0.334492
3200;0.355612
3300;0.380795
3400;0.401108
3500;0.428137
3600;0.456695
3700;0.480185
3800;0.522393
3900;0.550304
4000;0.601403
4100;0.620164
4200;0.633743
4300;0.664567
4400;0.811194
4500;0.738046
4600;0.783042
4700;0.811229
4800;0.851351
4900;0.927648
5000;0.91734
5100;0.944234
5200;0.99644
5300;1.04437
5400;1.06685
5500;1.12172
5600;1.20319
5700;1.36845
5800;1.87358
5900;1.77426
6000;1.6094
6100;1.69172
6200;1.72427
6300;1.65599
6400;1.734
6500;1.76447
6600;1.70756
6700;1.74165
6800;1.71962
6900;1.90572
7000;1.83997
7100;1.8703
7200;1.92495
7300;2.28968
7400;2.03381
7500;2.57686
7600;2.24192
7700;2.21275
7800;2.27133
7900;2.33667
8000;2.396
8100;2.47872
8200;2.52237
8300;2.58646
8400;2.66244
8500;2.71428
8600;2.78613
8700;2.85869
8800;2.92607
8900;3.16938
9000;3.29596
9100;3.18526
9200;3.28535
9300;3.4092
9400;3.38846
9500;3.43287
9600;3.50562
9700;3.59497
9800;3.65659
9900;3.74411
10000;3.84251
10100;3.90469
10200;3.98026
10300;4.05939
10400;4.14482
10500;4.22854
10600;4.32113
10700;4.63188
10800;4.58183
10900;4.71533
11000;4.77815
11100;4.74559
11200;4.83693
11300;4.95834
11400;5.02193
11500;5.10963
11600;5.20173
11700;5.29524
11800;5.3277
11900;5.43098
12000;5.79817
12100;5.72824
12200;5.96554
12300;5.89367
12400;5.93607
12500;6.01942
12600;6.12306
12700;6.21962
12800;6.39835
12900;6.41367
13000;6.51462
13100;7.09996
13200;7.13239
13300;7.03556
13400;6.92701
13500;7.03486
13600;7.29873
13700;7.46273
13800;7.51968
13900;7.4754
14000;8.19737
14100;7.97072
14200;7.80847
14300;8.11321
14400;8.16308
14500;8.45389
14600;8.30571
14700;8.58499
14800;8.94228
14900;9.07866
15000;8.78191
15100;8.90519
15200;9.21339
15300;9.14461
15400;9.52683
15500;9.82648
15600;10.0032
15700;9.65942
15800;10.0501
15900;9.93427
16000;10.2545
16100;10.4046
16200;10.7985
16300;10.517
16400;11.1375
16500;10.7461
16600;11.2191
16700;12.9806
16800;12.082
16900;13.0677
17000;14.9121
17100;11.6622
17200;12.5184
17300;12.1696
17400;12.3497
17500;12.1878
17600;12.7483
17700;12.6797
17800;13.41
17900;13.0492
18000;13.3287
18100;13.4732
18200;13.4374
18300;14.2207
18400;13.5582
18500;14.3702
18600;13.8994
18700;15.3393
18800;15.8997
18900;14.97
19000;15.115
19100;15.2035
19200;15.4629
19300;14.9577
19400;15.7398
19500;15.9088
19600;16.0171
19700;16.034
19800;15.7906
19900;16.5646
20000;19.4912
