Liczba elementow;Zmierzony czas
100;1.2e-06
200;2.1e-06
300;2.7e-06
400;3.4e-06
500;4.4e-06
600;4.9e-06
700;5.5e-06
800;6.3e-06
900;7.1e-06
1000;7.8e-06
1100;8.7e-06
1200;9.6e-06
1300;1.05e-05
1400;1.09e-05
1500;1.18e-05
1600;1.21e-05
1700;1.28e-05
1800;1.36e-05
1900;1.47e-05
2000;1.53e-05
2100;1.64e-05
2200;1.71e-05
2300;1.76e-05
2400;1.82e-05
2500;2.39e-05
2600;1.94e-05
2700;2.06e-05
2800;2.13e-05
2900;2.15e-05
3000;2.28e-05
3100;2.37e-05
3200;2.39e-05
3300;2.47e-05
3400;2.51e-05
3500;2.64e-05
3600;3.23e-05
3700;2.71e-05
3800;2.84e-05
3900;2.96e-05
4000;3.23e-05
4100;3.85e-05
4200;3.13e-05
4300;3.17e-05
4400;3.83e-05
4500;3.43e-05
4600;3.43e-05
4700;3.39e-05
4800;3.54e-05
4900;3.63e-05
5000;3.76e-05
5100;3.84e-05
5200;3.85e-05
5300;3.99e-05
5400;4e-05
5500;4.05e-05
5600;4.08e-05
5700;4.3e-05
5800;4.28e-05
5900;6.73e-05
6000;4.39e-05
6100;4.91e-05
6200;7.68e-05
6300;5.98e-05
6400;4.71e-05
6500;5.31e-05
6600;4.95e-05
6700;4.9e-05
6800;5.04e-05
6900;5.16e-05
7000;5.19e-05
7100;5.29e-05
7200;7.02e-05
7300;5.59e-05
7400;5.57e-05
7500;5.64e-05
7600;5.78e-05
7700;5.68e-05
7800;5.7e-05
7900;5.89e-05
8000;6.02e-05
8100;6.03e-05
8200;6.08e-05
8300;6.12e-05
8400;6.27e-05
8500;6.17e-05
8600;6.33e-05
8700;6.47e-05
8800;6.55e-05
8900;6.65e-05
9000;6.76e-05
9100;7.3e-05
9200;6.93e-05
9300;6.89e-05
9400;7e-05
9500;7.14e-05
9600;7.17e-05
9700;7.33e-05
9800;7.39e-05
9900;9.36e-05
10000;7.5e-05
10100;7.51e-05
10200;7.71e-05
10300;7.72e-05
10400;7.82e-05
10500;7.92e-05
10600;7.83e-05
10700;9.02e-05
10800;8.19e-05
10900;8.2e-05
11000;0.0001
11100;9.93e-05
11200;8.49e-05
11300;8.95e-05
11400;8.75e-05
11500;8.52e-05
11600;9.01e-05
11700;9.31e-05
11800;0.0001059
11900;9.05e-05
12000;0.0001075
12100;9.06e-05
12200;9.16e-05
12300;9.36e-05
12400;9.58e-05
12500;9.37e-05
12600;9.69e-05
12700;0.0001019
12800;0.000116
12900;9.73e-05
13000;9.99e-05
13100;0.0001004
13200;0.0001013
13300;0.0001021
13400;0.0001032
13500;0.0001021
13600;0.0001024
13700;0.0001046
13800;0.000107
13900;0.0001066
14000;0.0001067
14100;0.0001337
14200;0.000108
14300;0.0001101
14400;0.0001095
14500;0.0001114
14600;0.0001104
14700;0.0001094
14800;0.0001135
14900;0.0001136
15000;0.0001151
15100;0.0001149
15200;0.000113
15300;0.0001143
15400;0.0001149
15500;0.0001185
15600;0.0001189
15700;0.0001202
15800;0.0001184
15900;0.0001218
16000;0.0001218
16100;0.0001235
16200;0.000149
16300;0.0001241
16400;0.0001255
16500;0.0001264
16600;0.0001276
16700;0.0001502
16800;0.0001291
16900;0.0001269
17000;0.000169
17100;0.0001297
17200;0.0001322
17300;0.0001326
17400;0.0001337
17500;0.0001329
17600;0.0001334
17700;0.0001322
17800;0.0001426
17900;0.0001356
18000;0.0001378
18100;0.0001392
18200;0.0001394
18300;0.0002374
18400;0.0001417
18500;0.0001416
18600;0.0001411
18700;0.0001419
18800;0.0001451
18900;0.0001468
19000;0.0001439
19100;0.0001468
19200;0.000147
19300;0.0001457
19400;0.0001525
19500;0.0001495
19600;0.00015
19700;0.0001536
19800;0.0001516
19900;0.000153
20000;0.0001537
