Liczba elementow;Zmierzony czas
100;0.0002898
200;0.0012641
300;0.0026406
400;0.0042254
500;0.0076253
600;0.0116851
700;0.0157759
800;0.0190888
900;0.024423
1000;0.0283524
1100;0.0338037
1200;0.0418459
1300;0.0489631
1400;0.0589766
1500;0.0665719
1600;0.0831522
1700;0.0931717
1800;0.102089
1900;0.115919
2000;0.125735
2100;0.137016
2200;0.149741
2300;0.163592
2400;0.309985
2500;0.272318
2600;0.211303
2700;0.260512
2800;0.253891
2900;0.267807
3000;0.298742
3100;0.306346
3200;0.325214
3300;0.348985
3400;0.367292
3500;0.392113
3600;0.416257
3700;0.440267
3800;0.479866
3900;0.502626
4000;0.549472
4100;0.566946
4200;0.581534
4300;0.611082
4400;0.737511
4500;0.678036
4600;0.721764
4700;0.739545
4800;0.783613
4900;0.852834
5000;0.844011
5100;0.865978
5200;0.91583
5300;0.959035
5400;0.982385
5500;1.03026
5600;1.11077
5700;1.25906
5800;1.73742
5900;1.66007
6000;1.48662
6100;1.56453
6200;1.59305
6300;1.53912
6400;1.56569
6500;1.64398
6600;1.58041
6700;1.61215
6800;1.58742
6900;1.77068
7000;1.69865
7100;1.72672
7200;1.77638
7300;2.13498
7400;1.87859
7500;2.31692
7600;2.07847
7700;2.04103
7800;2.09901
7900;2.15935
8000;2.21514
8100;2.29332
8200;2.33207
8300;2.39197
8400;2.45733
8500;2.51053
8600;2.57597
8700;2.64176
8800;2.70269
8900;2.89853
9000;3.03177
9100;2.95198
9200;2.99181
9300;3.16657
9400;3.14049
9500;3.17935
9600;3.24622
9700;3.32773
9800;3.38732
9900;3.46822
10000;3.5601
10100;3.61767
10200;3.68805
10300;3.76159
10400;3.84088
10500;3.91892
10600;4.00361
10700;4.25377
10800;4.25243
10900;4.34473
11000;4.43864
11100;4.40039
11200;4.48506
11300;4.56485
11400;4.6557
11500;4.73735
11600;4.82262
11700;4.91016
11800;4.93698
11900;5.03151
12000;5.35439
12100;5.3152
12200;5.50682
12300;5.46961
12400;5.50593
12500;5.5811
12600;5.67814
12700;5.76716
12800;5.93936
12900;5.9481
13000;6.04095
13100;6.61897
13200;6.64527
13300;6.54095
13400;6.41761
13500;6.52269
13600;6.77576
13700;6.93443
13800;6.98599
13900;6.93172
14000;7.64947
14100;7.41145
14200;7.24293
14300;7.51633
14400;7.55056
14500;7.86688
14600;7.70203
14700;7.98293
14800;8.29488
14900;8.45831
15000;8.15056
15100;8.26616
15200;8.56259
15300;8.48893
15400;8.86526
15500;9.15421
15600;9.32327
15700;8.97256
15800;9.35009
15900;9.21969
16000;9.53711
16100;9.61756
16200;10.0223
16300;9.77462
16400;10.3671
16500;9.98635
16600;10.4072
16700;12.058
16800;11.2307
16900;12.0999
17000;14.0952
17100;10.8398
17200;11.5684
17300;11.3281
17400;11.4927
17500;11.3226
17600;11.8724
17700;11.6862
17800;12.5058
17900;12.1436
18000;12.4172
18100;12.5516
18200;12.4285
18300;13.2572
18400;12.5625
18500;13.4081
18600;12.9187
18700;14.327
18800;14.8999
18900;13.9678
19000;14.089
19100;14.0993
19200;14.4102
19300;13.8973
19400;14.6865
19500;14.8306
19600;14.9421
19700;14.9452
19800;14.6899
19900;15.3818
20000;18.3179
