Liczba elementow;Zmierzony czas
100;6.1e-06
200;1.31e-05
300;2.05e-05
400;3.49e-05
500;4.02e-05
600;3.91e-05
700;4.59e-05
800;5.46e-05
900;6.98e-05
1000;7.17e-05
1100;7.91e-05
1200;8.67e-05
1300;0.0001017
1400;0.0001033
1500;0.0001211
1600;0.00012
1700;0.0001298
1800;0.000148
1900;0.0001492
2000;0.0001611
2100;0.0001669
2200;0.0001754
2300;0.0001853
2400;0.0001945
2500;0.0003168
2600;0.0002147
2700;0.0002237
2800;0.0002498
2900;0.0002454
3000;0.0002569
3100;0.000265
3200;0.0002788
3300;0.0002844
3400;0.0003045
3500;0.0003065
3600;0.0003528
3700;0.0003307
3800;0.0003372
3900;0.0003493
4000;0.0004025
4100;0.0003959
4200;0.0003825
4300;0.0003911
4400;0.0004671
4500;0.0004161
4600;0.0004306
4700;0.0004383
4800;0.0004557
4900;0.0004607
5000;0.0004718
5100;0.0005327
5200;0.0005027
5300;0.0005047
5400;0.0005164
5500;0.0005277
5600;0.0005414
5700;0.0005546
5800;0.000637
5900;0.0008645
6000;0.0005879
6100;0.0008827
6200;0.0011027
6300;0.0010923
6400;0.0006386
6500;0.0007298
6600;0.0006643
6700;0.0006869
6800;0.0006933
6900;0.0006993
7000;0.0007124
7100;0.000724
7200;0.0007363
7300;0.0008275
7400;0.0007619
7500;0.0007725
7600;0.0007865
7700;0.0008008
7800;0.0008122
7900;0.0008244
8000;0.000838
8100;0.0008516
8200;0.0009733
8300;0.0008764
8400;0.0008892
8500;0.0009038
8600;0.000931
8700;0.0009314
8800;0.0009401
8900;0.0011211
9000;0.0010392
9100;0.0010589
9200;0.0009979
9300;0.0010124
9400;0.001024
9500;0.0010353
9600;0.0010549
9700;0.0010644
9800;0.0010786
9900;0.0014171
10000;0.0011076
10100;0.0011189
10200;0.0012064
10300;0.0012198
10400;0.0012691
10500;0.0011773
10600;0.0011856
10700;0.0012432
10800;0.0012157
10900;0.0012317
11000;0.0015211
11100;0.0015512
11200;0.0012716
11300;0.0012863
11400;0.0014707
11500;0.0013121
11600;0.0016213
11700;0.0013468
11800;0.0016616
11900;0.0013699
12000;0.0017124
12100;0.001403
12200;0.0014269
12300;0.0014612
12400;0.0015608
12500;0.0015563
12600;0.0017568
12700;0.0018244
12800;0.0018712
12900;0.001525
13000;0.0015459
13100;0.0015464
13200;0.0015838
13300;0.0015852
13400;0.0016027
13500;0.0016138
13600;0.0016356
13700;0.0016407
13800;0.0016832
13900;0.0017809
14000;0.0016878
14100;0.0022193
14200;0.0017137
14300;0.0017315
14400;0.0017428
14500;0.0017738
14600;0.0017702
14700;0.0018007
14800;0.0018078
14900;0.0018459
15000;0.0018342
15100;0.0018567
15200;0.0018698
15300;0.0018831
15400;0.0019051
15500;0.0019183
15600;0.0019305
15700;0.0019724
15800;0.0019625
15900;0.0019796
16000;0.0020007
16100;0.0020208
16200;0.0026697
16300;0.0020481
16400;0.0020609
16500;0.0020763
16600;0.002126
16700;0.0025224
16800;0.0021302
16900;0.0021528
17000;0.003329
17100;0.0021746
17200;0.0022937
17300;0.0022595
17400;0.0022241
17500;0.0022309
17600;0.002241
17700;0.0023417
17800;0.002442
17900;0.002292
18000;0.0023093
18100;0.0023266
18200;0.0023466
18300;0.0042588
18400;0.0023825
18500;0.0025684
18600;0.0024128
18700;0.0024983
18800;0.0027179
18900;0.0024593
19000;0.0024903
19100;0.0026102
19200;0.0025755
19300;0.0025367
19400;0.0025486
19500;0.0025636
19600;0.002806
19700;0.0025863
19800;0.0026224
19900;0.002624
20000;0.0027531
