Liczba elementow;Zmierzony czas
100;4.73e-05
200;0.0001653
300;0.0002172
400;0.0003462
500;0.0008879
600;0.0010946
700;0.0011772
800;0.001817
900;0.0015303
1000;0.0019083
1100;0.0023025
1200;0.0026765
1300;0.0033104
1400;0.0038141
1500;0.0045718
1600;0.0047525
1700;0.0056642
1800;0.0059568
1900;0.0068614
2000;0.0077423
2100;0.0106441
2200;0.008795
2300;0.009558
2400;0.0244061
2500;0.0114171
2600;0.0120453
2700;0.0137557
2800;0.0172056
2900;0.0191959
3000;0.017392
3100;0.0166453
3200;0.0181318
3300;0.0188621
3400;0.0200378
3500;0.0215726
3600;0.0249014
3700;0.0237186
3800;0.025249
3900;0.029653
4000;0.0304054
4100;0.0322911
4200;0.0308272
4300;0.031811
4400;0.0411374
4500;0.0357714
4600;0.0362547
4700;0.0425719
4800;0.0404611
4900;0.0468621
5000;0.0430795
5100;0.0448643
5200;0.0479714
5300;0.0480073
5400;0.0501099
5500;0.0540209
5600;0.0551259
5700;0.0654094
5800;0.080545
5900;0.0683412
6000;0.0773291
6100;0.0744084
6200;0.0823409
6300;0.0707089
6400;0.103791
6500;0.0720762
6600;0.0736046
6700;0.07794
6800;0.0777645
6900;0.0803235
7000;0.084455
7100;0.0849914
7200;0.0882878
7300;0.0933242
7400;0.0926636
7500;0.136969
7600;0.096836
7700;0.102574
7800;0.102694
7900;0.105485
8000;0.107671
8100;0.11039
8200;0.113148
8300;0.115705
8400;0.124606
8500;0.121343
8600;0.124767
8700;0.129755
8800;0.135145
8900;0.179398
9000;0.171604
9100;0.139111
9200;0.170359
9300;0.144299
9400;0.147711
9500;0.150704
9600;0.154244
9700;0.157609
9800;0.160728
9900;0.16462
10000;0.169051
10100;0.171384
10200;0.173839
10300;0.177173
10400;0.180994
10500;0.184153
10600;0.189705
10700;0.248155
10800;0.196114
10900;0.213689
11000;0.202322
11100;0.205398
11200;0.209371
11300;0.2246
11400;0.216707
11500;0.221896
11600;0.224625
11700;0.22892
11800;0.232797
11900;0.238881
12000;0.242755
12100;0.245788
12200;0.279882
12300;0.252404
12400;0.255816
12500;0.260954
12600;0.264621
12700;0.270043
12800;0.272829
12900;0.276214
13000;0.281088
13100;0.286199
13200;0.290215
13300;0.293999
13400;0.306497
13500;0.304746
13600;0.313256
13700;0.314255
13800;0.318293
13900;0.321857
14000;0.325657
14100;0.331392
14200;0.335832
14300;0.339485
14400;0.369916
14500;0.349383
14600;0.356108
14700;0.35768
14800;0.373154
14900;0.369493
15000;0.373142
15100;0.380518
15200;0.383768
15300;0.390558
15400;0.393202
15500;0.400302
15600;0.404304
15700;0.408892
15800;0.417963
15900;0.429246
16000;0.425843
16100;0.432208
16200;0.47018
16300;0.44208
16400;0.466705
16500;0.450363
16600;0.491057
16700;0.474558
16800;0.501668
16900;0.543752
17000;0.481689
17100;0.489028
17200;0.54263
17300;0.499317
17400;0.507501
17500;0.511345
17600;0.523558
17700;0.574225
17800;0.543971
17900;0.542033
18000;0.539398
18100;0.548744
18200;0.614086
18300;0.578622
18400;0.572241
18500;0.574339
18600;0.578343
18700;0.61704
18800;0.597467
18900;0.596126
19000;0.615349
19100;0.685051
19200;0.623892
19300;0.627888
19400;0.62711
19500;0.648479
19600;0.640146
19700;0.643791
19800;0.656686
19900;0.68339
20000;0.695815
