Liczba elementow;Zmierzony czas
100;4.22e-05
200;0.0001528
300;0.0002029
400;0.000329
500;0.000863
600;0.0010662
700;0.0011461
800;0.00177
900;0.0014932
1000;0.0018678
1100;0.0022568
1200;0.0026256
1300;0.0032576
1400;0.0037534
1500;0.0045049
1600;0.0046798
1700;0.0054877
1800;0.0058792
1900;0.0067781
2000;0.007657
2100;0.0105383
2200;0.0086967
2300;0.0094526
2400;0.0242266
2500;0.0113048
2600;0.0119315
2700;0.0136084
2800;0.0170499
2900;0.0190369
3000;0.0172461
3100;0.0165098
3200;0.0180004
3300;0.0187215
3400;0.0198934
3500;0.0214188
3600;0.0247276
3700;0.0235605
3800;0.0250883
3900;0.0294618
4000;0.0302032
4100;0.0320932
4200;0.0306472
4300;0.0316299
4400;0.0409165
4500;0.0355694
4600;0.0360654
4700;0.0423293
4800;0.0402409
4900;0.0466056
5000;0.0428595
5100;0.0446433
5200;0.047727
5300;0.0477819
5400;0.0498761
5500;0.0537671
5600;0.0548659
5700;0.0651058
5800;0.0802074
5900;0.0680584
6000;0.0770218
6100;0.074092
6200;0.0820188
6300;0.0704251
6400;0.103329
6500;0.0717888
6600;0.0733272
6700;0.077643
6800;0.077473
6900;0.0800239
7000;0.0841443
7100;0.0846873
7200;0.0879588
7300;0.0929724
7400;0.0923268
7500;0.136485
7600;0.0965197
7700;0.102237
7800;0.102346
7900;0.105145
8000;0.107318
8100;0.110028
8200;0.112757
8300;0.115349
8400;0.12423
8500;0.120977
8600;0.124385
8700;0.129362
8800;0.134746
8900;0.178898
9000;0.171121
9100;0.138714
9200;0.169797
9300;0.143912
9400;0.147288
9500;0.150301
9600;0.153822
9700;0.157166
9800;0.160302
9900;0.164185
10000;0.168606
10100;0.170933
10200;0.173405
10300;0.176679
10400;0.180546
10500;0.183705
10600;0.189198
10700;0.247515
10800;0.195653
10900;0.21312
11000;0.201855
11100;0.204918
11200;0.208869
11300;0.224078
11400;0.21622
11500;0.221414
11600;0.224119
11700;0.228417
11800;0.232266
11900;0.238349
12000;0.242223
12100;0.245257
12200;0.279302
12300;0.25187
12400;0.255281
12500;0.26037
12600;0.264079
12700;0.26948
12800;0.272269
12900;0.275635
13000;0.280489
13100;0.285635
13200;0.289639
13300;0.293415
13400;0.305863
13500;0.304139
13600;0.312638
13700;0.313634
13800;0.317658
13900;0.321248
14000;0.325033
14100;0.330749
14200;0.335208
14300;0.338851
14400;0.36919
14500;0.348701
14600;0.355467
14700;0.357011
14800;0.372489
14900;0.368815
15000;0.372455
15100;0.379849
15200;0.383093
15300;0.389896
15400;0.392534
15500;0.399602
15600;0.403624
15700;0.408192
15800;0.417268
15900;0.428548
16000;0.425134
16100;0.431475
16200;0.469398
16300;0.441371
16400;0.465951
16500;0.449637
16600;0.490232
16700;0.47378
16800;0.500854
16900;0.542892
17000;0.480934
17100;0.48825
17200;0.541764
17300;0.498546
17400;0.506692
17500;0.510556
17600;0.522637
17700;0.573261
17800;0.543178
17900;0.541235
18000;0.53854
18100;0.547941
18200;0.613066
18300;0.577772
18400;0.571434
18500;0.573454
18600;0.577519
18700;0.616014
18800;0.596606
18900;0.595307
19000;0.614469
19100;0.684002
19200;0.623043
19300;0.627017
19400;0.626249
19500;0.647536
19600;0.639258
19700;0.642855
19800;0.655763
19900;0.682388
20000;0.694843
