Liczba elementow;Zmierzony czas
100;3.33e-05
200;0.0001107
300;0.0002419
400;0.000248
500;0.0005933
600;0.000506
700;0.0006447
800;0.0011533
900;0.0010182
1000;0.0012617
1100;0.001496
1200;0.001762
1300;0.0021534
1400;0.0023911
1500;0.0029266
1600;0.0031369
1700;0.0038076
1800;0.0040156
1900;0.004781
2000;0.0065162
2100;0.0062028
2200;0.0061275
2300;0.0062956
2400;0.0457971
2500;0.0108052
2600;0.007841
2700;0.0096885
2800;0.0091777
2900;0.0103091
3000;0.0112854
3100;0.0111623
3200;0.0119502
3300;0.0126237
3400;0.0134319
3500;0.0141053
3600;0.0150906
3700;0.0157954
3800;0.0168968
3900;0.0176284
4000;0.0210085
4100;0.020424
4200;0.0208976
4300;0.0211917
4400;0.0319664
4500;0.0237192
4600;0.0244937
4700;0.0285605
4800;0.0266917
4900;0.0273958
5000;0.0297026
5100;0.0327418
5200;0.0320191
5300;0.0367503
5400;0.033723
5500;0.036804
5600;0.0366403
5700;0.0433028
5800;0.0548615
5900;0.0448808
6000;0.0447458
6100;0.0518109
6200;0.0475176
6300;0.044964
6400;0.0637239
6500;0.0475415
6600;0.0527328
6700;0.0507886
6800;0.0536551
6900;0.0538836
7000;0.0560711
7100;0.0577363
7200;0.0594107
7300;0.0604476
7400;0.0616649
7500;0.122112
7600;0.0656831
7700;0.0682001
7800;0.0686625
7900;0.0708535
8000;0.0722548
8100;0.0739901
8200;0.0759799
8300;0.0778035
8400;0.079455
8500;0.0813228
8600;0.084249
8700;0.0860766
8800;0.0871224
8900;0.0902207
9000;0.0913685
9100;0.0928995
9200;0.121959
9300;0.0971218
9400;0.0990412
9500;0.101669
9600;0.103902
9700;0.108381
9800;0.107257
9900;0.109575
10000;0.11204
10100;0.114398
10200;0.116941
10300;0.119179
10400;0.12147
10500;0.12407
10600;0.126395
10700;0.128451
10800;0.131937
10900;0.155421
11000;0.135385
11100;0.137971
11200;0.140956
11300;0.167333
11400;0.147801
11500;0.148827
11600;0.152574
11700;0.154513
11800;0.156073
11900;0.159083
12000;0.199016
12100;0.165689
12200;0.177239
12300;0.169993
12400;0.172601
12500;0.175633
12600;0.178369
12700;0.180401
12800;0.183983
12900;0.187664
13000;0.190864
13100;0.193069
13200;0.195142
13300;0.198702
13400;0.201147
13500;0.205653
13600;0.207797
13700;0.212244
13800;0.213395
13900;0.219867
14000;0.220288
14100;0.225459
14200;0.227837
14300;0.255325
14400;0.240695
14500;0.235523
14600;0.24563
14700;0.242301
14800;0.27227
14900;0.248714
15000;0.256176
15100;0.256472
15200;0.264799
15300;0.263068
15400;0.266099
15500;0.269879
15600;0.273434
15700;0.27581
15800;0.279732
15900;0.283168
16000;0.289155
16100;0.352666
16200;0.302912
16300;0.298046
16400;0.301232
16500;0.307065
16600;0.318368
16700;0.445208
16800;0.347119
16900;0.421659
17000;0.331307
17100;0.330993
17200;0.404728
17300;0.339687
17400;0.346818
17500;0.351429
17600;0.349696
17700;0.416744
17800;0.357363
17900;0.36099
18000;0.369417
18100;0.370107
18200;0.392267
18300;0.379999
18400;0.420887
18500;0.38476
18600;0.399765
18700;0.392331
18800;0.399215
18900;0.403378
19000;0.407712
19100;0.41629
19200;0.425879
19300;0.429695
19400;0.423206
19500;0.426711
19600;0.431777
19700;0.442004
19800;0.441166
19900;0.496472
20000;0.474267
