Liczba elementow;Zmierzony czas
100;2.73e-05
200;9.98e-05
300;0.0002273
400;0.0002321
500;0.0005713
600;0.0004812
700;0.0006167
800;0.0011185
900;0.0009846
1000;0.0012243
1100;0.0014506
1200;0.0017143
1300;0.0020981
1400;0.0023344
1500;0.0028631
1600;0.0030738
1700;0.0037318
1800;0.0039409
1900;0.0046938
2000;0.0064179
2100;0.0061127
2200;0.0060405
2300;0.0061993
2400;0.044625
2500;0.0106801
2600;0.0077325
2700;0.0095746
2800;0.0090525
2900;0.0101911
3000;0.0111587
3100;0.0110344
3200;0.0118223
3300;0.0124886
3400;0.0132907
3500;0.0139643
3600;0.0149454
3700;0.0156441
3800;0.0167424
3900;0.0174693
4000;0.0208315
4100;0.0202551
4200;0.0207275
4300;0.0210212
4400;0.0317261
4500;0.0235267
4600;0.0242802
4700;0.0283564
4800;0.0264922
4900;0.027203
5000;0.0294932
5100;0.0325257
5200;0.0318029
5300;0.036521
5400;0.033495
5500;0.0365645
5600;0.0364178
5700;0.0430244
5800;0.0545717
5900;0.0446363
6000;0.0444592
6100;0.0515343
6200;0.0472604
6300;0.0447073
6400;0.063439
6500;0.0472878
6600;0.0524319
6700;0.0505179
6800;0.0533773
6900;0.0536062
7000;0.0557894
7100;0.0574445
7200;0.0591224
7300;0.0600639
7400;0.0613686
7500;0.121435
7600;0.0653735
7700;0.0678874
7800;0.0683505
7900;0.0705314
8000;0.0719272
8100;0.0736693
8200;0.0756411
8300;0.0774617
8400;0.0791181
8500;0.0809762
8600;0.0839063
8700;0.0857081
8800;0.0867603
8900;0.0898566
9000;0.0910112
9100;0.0925285
9200;0.121525
9300;0.0967453
9400;0.0986631
9500;0.101236
9600;0.103507
9700;0.107994
9800;0.106865
9900;0.109171
10000;0.111626
10100;0.113988
10200;0.116531
10300;0.118756
10400;0.121063
10500;0.123649
10600;0.125969
10700;0.128008
10800;0.131504
10900;0.154935
11000;0.134926
11100;0.137523
11200;0.140498
11300;0.166824
11400;0.147316
11500;0.14837
11600;0.152111
11700;0.154053
11800;0.155595
11900;0.158598
12000;0.19838
12100;0.165199
12200;0.17671
12300;0.169501
12400;0.172095
12500;0.175127
12600;0.17786
12700;0.179884
12800;0.183457
12900;0.18714
13000;0.190316
13100;0.192533
13200;0.194602
13300;0.198155
13400;0.200604
13500;0.205103
13600;0.207239
13700;0.211673
13800;0.212828
13900;0.219294
14000;0.219717
14100;0.2249
14200;0.227258
14300;0.254707
14400;0.240083
14500;0.234926
14600;0.245037
14700;0.241707
14800;0.271626
14900;0.248109
15000;0.255561
15100;0.25575
15200;0.2642
15300;0.262437
15400;0.265484
15500;0.269247
15600;0.2728
15700;0.27517
15800;0.279089
15900;0.282532
16000;0.288513
16100;0.351903
16200;0.302242
16300;0.297393
16400;0.300566
16500;0.30641
16600;0.31767
16700;0.444202
16800;0.346358
16900;0.420785
17000;0.330586
17100;0.330252
17200;0.403933
17300;0.338974
17400;0.346098
17500;0.350723
17600;0.34897
17700;0.415864
17800;0.35665
17900;0.360275
18000;0.368678
18100;0.36938
18200;0.391506
18300;0.379236
18400;0.420097
18500;0.38399
18600;0.398983
18700;0.391558
18800;0.398399
18900;0.402617
19000;0.406918
19100;0.415514
19200;0.425079
19300;0.428909
19400;0.422427
19500;0.4259
19600;0.430956
19700;0.441182
19800;0.440353
19900;0.495579
20000;0.473434
